Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Численные методы и программирование. Учебное пособие для СПО,Слабнов Виктор Дмитриевич,Лань.Компьютеры и программное обеспечение,4014,6176,35,На складе
Технология разработки программного обеспечения. Учебное пособие для СПО,Зубкова Татьяна Михайловна,Лань.Компьютеры и программное обеспечение,2727,4196,35,На складе
"“Непрактичный” Python. Занимательные проекты для тех, кто хочет поумнеть",Воган Ли,BHV,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Разработка приложений на Swift 5.1 и SwiftUI с нуля,Казанский Александр Анатольевич,BHV.С нуля,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
WordPress с нуля,Молочков Владимир Петрович,BHV.С нуля,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Изучаем C++ через программирование игр,Доусон Майкл,Питер,1399,Нет старого прайса,Нет скидки,На складе
Совершенный софт. Совершенный софт - совершенная карьера,Леве Джувел,Питер.Для профессионалов,2214,2839,22,На складе
"Spark в действии. С примерами Java, Python и Scala",Перрен Жан-Жорж,ДМК-Пресс,3629,5583,35,На складе
Изучаем Power Query. Наглядный подход к подключению и преобразованию данных из множества источников,"Фоукс Линда, Спарроу Уоррен",ДМК-Пресс,2358,3628,35,На складе
Секреты Python Pro,Хиллард Дейн,Питер.Для профессионалов,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Программирование на Python в примерах и задачах,Васильев Алексей Николаевич,Бомбора.Российский компьютерный бестселлер,1219,1670,27,На складе
Моделирование и оптимизация процессов управления в технологических системах. Учебник,"Колтунов Игорь Ильич, Крыжановская Татьяна Георгиевна",Кнорус.Магистратура,1188,1828,35,На складе
Квантовые вычисления. Прикладной подход,Хидари Джек Д.,ДМК-Пресс,2177,3349,35,На складе
JavaScript. Полное руководство,Флэнаган Дэвид,Вильямс,5243,8066,35,Ограничено
Проектирование информационных систем. Методы и средства структурно-функционального проектирования,"Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",Лань.Компьютеры и программное обеспечение,1301,2001,35,Ограничено
Квантовые вычисления. Прикладной подход,Хидари Джек Д.,ДМК-Пресс,2177,3349,35,На складе
JavaScript. Полное руководство,Флэнаган Дэвид,Вильямс,5243,8066,35,Ограничено
,,,0,Нет старого прайса,Нет скидки,
Проектирование информационных систем. Методы и средства структурно-функционального проектирования,"Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",Лань.Компьютеры и программное обеспечение,1301,2001,35,Ограничено
Структуры дан.в C#.Лин.и нелин.динамич.структ.СПО,Симонова Елена Витальевна,Лань.Компьютеры и программное обеспечение,1386,2133,35,Ограничено
"Проектирование информационных систем. Стандартизация, техническое документирование информ. систем","Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",Лань.Компьютеры и программное обеспечение,1708,2628,35,Ограничено
Системы отображения информации. Дискретные индикаторы. Учебник для вузов,Смирнов Виктор Михайлович,Лань.Компьютеры и программное обеспечение,2654,4083,35,На складе
"Инфокоммуникационные системы. Протоколы,интерфейсы. Практикум. СПО",Журавлев Антон Евгеньевич,Лань.Компьютеры и программное обеспечение,2233,3436,35,Ограничено
Нечеткое моделирование и управление в технических системах. Учебное пособие для вузов,Кудинов Юрий Иванович и др.,Лань.Компьютеры и программное обеспечение,2412,3710,35,На складе
Мультимедийные технологии. Учебник для СПО,Катунин Геннадий Павлович,Лань.Компьютеры и программное обеспечение,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
"Swift. Основы разработки приложений под iOS, iPadOS и macOS",Усов Василий,Питер.Библиотека программиста,2116,2713,22,На складе
Система модулей Java,Парлог Николай,Питер.Для профессионалов,2558,3279,22,На складе
Игровой движок. Программирование и внутреннее устройство,Грегори Джейсон,Питер.Для профессионалов,5460,7000,22,На складе
Принципы юнит-тестирования,Хориков Владимир,Питер.Для профессионалов,1413,1811,22,На складе
Простой Python. Современный стиль программирования,Любанович Билл,Питер.Бестселлеры O`Reilly,2016,Нет старого прайса,Нет скидки,На складе
Kotlin. Сборник рецептов. Предметный подход,Коузен Кен,ДМК-Пресс,1815,2793,35,На складе
Олимпиадное программирование,Лааксонен Антти,ДМК-Пресс,1905,2930,35,На складе
,,,0,Нет старого прайса,Нет скидки,
Алгоритмы и структуры данных. Учебное пособие,Мясникова Нелли Александровна,Кнорус.Бакалавриат,1321,2032,35,На складе
Компьютерная арифметика. Учебное пособие. СПО (+CD),Иорданский Михаил Анатольевич,Лань.Компьютеры и программное обеспечение,1209,1860,35,Ограничено
Программирование. Практикум. Учебное пособие,Быкадорова Елена Анатольевна,Лань.Компьютеры и программное обеспечение,562,864,35,Ограничено
Системное программное обеспечение информационных мультимедиасистем. Учебное пособие,"Иванько Александр Федорович, Иванько Михаил Александрович",Лань.Компьютеры и программное обеспечение,777,1196,35,Ограничено
Распределенные системы,"Таненбаум Эндрю, Стин ван Мартен",ДМК-Пресс,3449,5306,35,На складе
Основы алгоритмизации и программирования на PythonОсновы алгоритмизации и программирования на Python,Гуриков Сергей Ростиславович,Форум.Высшее образование: Бакалавриат,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Android. Программирование для профессионалов,Филлипс Билл и др.,Питер.Для профессионалов,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Алгебра и геометрия с примерами на Python. Учебное пособие,"Борзунов Сергей Викторович, Кургалин Сергей Дмитриевич",Лань.Компьютеры и программное обеспечение,4657,7164,35,Ограничено
Организация и архитектура ЭВМ. Вычислительные системы. Учебное пособие,Журавлев Антон Евгеньевич,Лань.Компьютеры и программное обеспечение,1473,2266,35,На складе
Корпоративные информационные системы. Администрирование сетевого домена. Учебное пособие,Журавлев Антон Евгеньевич и др.,Лань.Компьютеры и программное обеспечение,1910,2938,35,Ограничено
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М.Среднее профессиональное образование,2551,3925,35,На складе
Hello World! Программирование для детей и взрослых,"Сэнд Уоррен, Сэнд Картер",ДМК-Пресс,1995,3069,35,На складе
Методология создания информационных систем. Учебное пособие,"Карминский Александр Маркович, Черников Борис Васильевич",ИНФРА-М.Среднее профессиональное образование,2010,3092,35,На складе
"Разработка бизнес-приложений на платформе ""1С: Предприятие"". Учебное пособие",Дадян Эдуард Григорьевич,ИНФРА-М.Среднее профессиональное образование,2412,3710,35,На складе
Время UNIX. A History and a Memoir,Керниган Брайан,Питер.Библиотека программиста,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Проектирование информационных систем. Учебное пособие. СПО,Вейцман Владимир Моисеевич,Лань.Компьютеры и программное обеспечение,2530,3892,35,Ограничено
Создание сайтов на основе WordPress. Учебное пособие для СПО,Сергеев Алексей Николаевич,Лань.Компьютеры и программное обеспечение,995,1530,35,На складе
"Интеграция управления программой и системной инженерии. Методы, инструменты и организационные систем",Мицуфуджи Акио и др.,ДМК-Пресс,2722,4187,35,На складе
Современный JavaScript для нетерпеливых,Хорстман Кэй С.,ДМК-Пресс,1995,3069,35,На складе
Инфокоммуникационные системы. Учебник,"Журавлев Антон Евгеньевич, Макшанов Андрей Владимирович",Лань.Компьютеры и программное обеспечение,2887,4442,35,На складе
Инфокоммуникационные системы. Учебник,Журавлев Антон Евгеньевич и др.,Лань.Компьютеры и программное обеспечение,3245,4993,35,На складе
Программирование на Rust. Официальный гайд,"Клабник Стив, Николс Кэрол",Питер.Для профессионалов,3416,4379,22,На складе
Проектирование информационных систем. Учебное пособие,Коваленко Владимир Васильевич,Форум.Высшее образование: Бакалавриат,2813,4328,35,На складе
Профессиональный TypeScript. Разработка масштабируемых JavaScript-приложений,Черный Борис,Питер.Бестселлеры O`Reilly,1700,2179,22,На складе
"Подробное руководство по DAX: бизнес-аналитика с Microsoft Power Bl, SQL Server Analysis Services","Феррари Альберто, Руссо Марко",ДМК-Пресс,3720,5723,35,На складе
Хаос-инжиниринг,"Розенталь Кейси, Джонс Нора",ДМК-Пресс,1815,2793,35,На складе
Цифровая обработка сигналов на системном уровне с использованием LabVIEW,"Кехтарнаваз Насер, Ким Намджин",ДМК-Пресс,1633,2513,35,На складе
Основы программирования. Учебник с практикумом,Макарова Наталья Владимировна и др.,Кнорус.Среднее профессиональное образование,2644,Нет старого прайса,Нет скидки,Ожидается
"Дискретная оптимизация. Модели, методы, алгоритмы решения прикладных задач",Струченков Валерий Иванович,Солон-пресс.Библиотека профессионала,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Базы данных. Учебник,Кумскова Ирина Александровна,Кнорус.Среднее профессиональное образование,3863,Нет старого прайса,Нет скидки,Ожидается
Теоретические основы разработки и реализации языков программирования. Учебное пособие,Гавриков Михаил Михайлович и др.,Кнорус. ,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Спортивное программирование. Новый нижний предел соревнований по программированию,"Халим Стивен, Халим Феликс",ДМК-Пресс,2903,4466,35,На складе
Django 3.0. Практика создания веб-сайтов на Python,Дронов Владимир Александрович,BHV.Профессиональное программирование,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Python и наука о данных для чайников,"Мюллер Джон Пол, Массарон Лука",Диалектика,2680,4123,35,На складе
Криптография - наука о тайнописи. Учебное пособие,Фомичев Владимир Михайлович,Прометей,437,672,35,На складе
Искусство тестирования программ,Сандлер Кори и др.,Диалектика,3496,5378,35,Ограничено
Прикладное программирование. Учебное пособие,Никифоров Сергей Николаевич,Лань.Среднее профессиональное образование,849,1306,35,Ограничено
Python для программирования криптовалют,Сонг Джимми,Диалектика,4427,6810,35,Ограничено
Прикладное машинное обучение без учителя с использованием Python,Пател Анкур,Диалектика,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
Алгоритмы оптимизации,"Кохендерфер Майкл, Уилер Тим",Вильямс,5243,8066,35,Ограничено
"Мифический человеко-месяц, или Как создаются программные системы",Брукс Фредерик,Питер.Библиотека программиста,1710,2192,22,На складе
"Разработка приложений на С++ с использованием Boost. Рецепты, упрощающие разработку вашего приложени",Полухин Антон,ДМК-Пресс,2177,3349,35,На складе
JavaScript. 20 уроков для начинающих,Дронов Владимир Александрович,BHV.Для Начинающих,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
PHP и MySQL. 25 уроков для начинающих,Дронов Владимир Александрович,BHV.Для Начинающих,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
JavaScript. 20 уроков для начинающих,Дронов Владимир Александрович,BHV.Для Начинающих,Нет нового прайса,Нет старого прайса,Нет скидки,Отсутствует
